"","Site","Lat","Lon","Datetime","PFT","Climate","Tair","SW","RH","VPD","WS","Ca","SWC","LAI","flag_rain","flag_daytime","flag_GS","flag_peak","Gs"
"715102","CA-TP2",42.7744,-80.4588,"2003-09-08 16:00:00","ENF","Continental",21.53,390.52,49.24,1.304,2.073,393.898,0.063,1.4968706,0,1,1,1,0.219070782894645
"55828","US-Var",38.4133,-120.9508,"2008-11-29 12:30:00","GRA","Temperate",16.276,509.59,64.182,0.663,1.211,353.803,0.12616,0.73150152,0,1,1,0,0.130005159993832
"294320","US-Blo",38.8953,-120.6328,"2005-06-14 16:30:00","ENF","Temperate",21.748,542.672,33.491,1.801,2.996,376.402,0.2516,1.9101788,0,1,1,0,0.156280332471118
"644330","DE-Geb",51.0997,10.9146,"2010-04-08 08:30:00","CRO","Continental",8.84,376.5,61.56,0.4367,0.43,410.268,0.1749,0.51930702,0,1,1,0,0.105350056657843
"1642","ZM-Mon",-15.4391,23.2525,"2008-05-24 10:00:00","DBF","Tropical",22.953,690.943,42.8633,1.6011,3.956,380.077,0.04677,1.4477839,0,1,1,0,0.196059003718364
"29898","US-Whs",31.7438,-110.0522,"2011-08-07 17:00:00","OSH","Arid",26.23,174.6,51.332,1.659,3.949,385.707,0.05,0.34621561,0,1,1,1,0.0859577698948109
"791286","AU-Wom",-37.4222,144.0944,"2011-12-05 07:00:00","EBF","Temperate",8.11,392,66,0.3676,4.28,383.2,0.216,5.6348209,0,1,1,1,0.612779507356857
"521849","FR-LBr",44.7171,-0.7693,"2008-10-18 10:30:00","ENF","Temperate",10.7,229.31,79.1,0.269,2.816,390.008,0.23921,1.6967715,0,1,1,0,1.51502188354314
"467268","IT-Lav",45.9562,11.2813,"2007-07-27 14:00:00","ENF","Temperate",22.304,817.845,53.67,1.2482,1.666,379.406,0.24267,5.7418237,0,1,1,0,0.13730982873889
"135041","US-SRM",31.8214,-110.8661,"2012-10-25 12:30:00","WSA","Arid",21.71,797.3,13.557,2.245,2.57,386.237,0.0242,0.42918789,0,1,1,0,0.02821622865611
"620959","DE-Hai",51.0792,10.4522,"2008-07-15 16:00:00","DBF","Continental",22.61,422.11,45.2,1.504,2.57,370.67,0.2282,4.5211878,0,1,1,1,0.27426698661451
"329140","US-AR1",36.4267,-99.42,"2010-04-29 10:00:00","GRA","Temperate",25.44,819.3,49.98,1.633,9.112,364.609,0.2541,0.75797081,0,1,1,0,0.0608644025071526
